episode,ep_num,date,restaurant,theme_unit,nick,mitch,guest_avg,n_guests,guests,live,above5
Taco Bell with Jack Allison,2.0,2015-05-25,Taco Bell,Fork rating,3.0,5.0,5.0,1,Jack Allison,False,False
Long John Silver's with Mary Holland,5.0,2015-06-11,Long John Silver's,Fork rating,2.0,2.5,4.0,1,Mary Holland,False,False
TGI Fridays with Jordan Morris,6.0,2015-06-18,TGI Fridays,Fork rating,4.0,4.5,3.0,1,Jordan Morris,False,False
Umami Burger with Heather Anne Campbell,8.0,2015-07-02,Umami Burger,Fork rating,3.0,2.5,2.0,1,Heather Anne Campbell,False,False
Carl’s Jr./Hardee’s with Ben Axelrad,9.0,2015-07-09,Carl's Jr./Hardee's,Fork rating,4.0,4.0,,0,,False,False
Domino’s with Matt Kowalick,10.0,2015-07-16,Domino's,Fork rating,3.0,4.0,4.0,1,Matt Kowalick,False,False
Carrows with Erin Whitehead,11.0,2015-07-23,Carrows,Fork rating,2.0,2.0,,0,,False,False
Chick-fil-A with Betsy Sodaro,12.0,2015-07-29,Chick-fil-A,Fork rating,4.0,4.5,5.0,1,Betsy Sodaro,False,False
Denny’s with Farley Elliott,13.0,2015-08-06,Denny's,Fork rating,3.0,3.0,3.5,1,Farley Elliott,False,False
Original Tommy’s with Jim Woods,14.0,2015-08-12,Original Tommy's,Fork rating,3.5,3.5,3.5,1,Jim Woods,False,False
Boston Market with Annie Mebane,15.0,2015-08-19,Boston Market,Fork rating,3.5,3.5,3.5,1,Annie Mebane,False,False
In-N-Out Burger with Armen Weitzman,16.0,2015-08-27,In-N-Out Burger,Fork rating,5.0,5.0,5.0,1,Armen Weitzman,False,False
Subway with Fran Gillespie,17.0,2015-09-03,Subway,Fork rating,2.0,3.0,2.0,1,Fran Gillespie,False,False
Buffalo Wild Wings with Matt Selman,19.0,2015-09-18,Buffalo Wild Wings,Fork rating,4.0,4.0,4.33,1,Matt Selman,False,False
Starbucks with Joe Saunders,20.0,2015-09-24,Starbucks,Fork rating,3.0,2.5,3.0,1,Joe Saunders,False,False
L&L Hawaiian Barbecue with Eugene Cordero,21.0,2015-10-01,L&L Hawaiian Barbecue,Fork rating,4.0,4.0,4.5,1,Eugene Cordero,False,False
Rockdoughberfest: Cabo Wabo Cantina with Julie Brister,22.0,2015-10-08,Cabo Wabo Cantina,Fork rating,3.5,2.0,4.0,1,Julie Brister,False,False
Rockdoughberfest: Margaritaville with Mike Carlson,23.0,2015-10-15,Margaritaville,Fork rating,3.0,2.5,4.0,1,Mike Carlson,False,False
Rockdoughberfest: Hard Rock Cafe with Scott Gairdner,24.0,2015-10-22,Hard Rock Cafe,Fork rating,2.0,2.0,2.5,1,Scott Gairdner,False,False
Rockdoughberfest: Rock & Brews with Zoe Jarman,25.0,2015-10-29,Rock & Brews,Fork rating,3.5,3.0,3.0,1,Zoe Jarman,False,False
Burger King with John Roy,26.0,2015-11-05,Burger King,Fork rating,3.0,3.5,4.0,1,John Roy,False,False
Fuddruckers with Ryan Perez,27.0,2015-11-11,Fuddruckers,Fork rating,5.0,4.0,4.0,1,Ryan Perez,False,False
Del Taco with Alan Yang,28.0,2015-11-19,Del Taco,Fork rating,5.0,4.5,4.0,1,Alan Yang,False,False
Wingstop with Emmy Blotnick,29.0,2015-12-03,Wingstop,Fork rating,3.0,4.0,2.5,1,Emmy Blotnick,False,False
Arby’s with Vanessa Ramos,30.0,2015-12-10,Arby's,Fork rating,4.0,3.5,3.0,1,Vanessa Ramos,False,False
Steak ‘n Shake 2 with Evan Susser,31.0,2015-12-17,Steak 'n Shake,Fork rating,5.0,5.0,5.0,1,Evan Susser,False,False
Pizza Hut with Neil Campbell,32.0,2016-01-07,Pizza Hut,Fork rating,2.5,3.0,1.0,1,Neil Campbell,False,False
Five Guys with Jefferson Dutton,33.0,2016-01-14,Five Guys,Fork rating,4.0,4.0,3.5,1,Jefferson Dutton,False,False
California Pizza Kitchen with Eva Anderson,34.0,2016-01-21,California Pizza Kitchen,Fork rating,3.5,2.5,3.5,1,Eva Anderson,False,False
Krispy Kreme with Matt Besser,35.0,2016-01-28,Krispy Kreme,Fork rating,3.5,3.0,5.0,1,Matt Besser,False,False
Togo’s with Matty Smith,36.0,2016-02-04,Togo's,Fork rating,3.0,2.0,1.0,1,Matty Smith,False,False
Panda Express with Tricia McAlpin,37.0,2016-02-11,Panda Express,Fork rating,2.5,3.0,4.0,1,Tricia McAlpin,False,False
Mimi’s Cafe with Georgia Hardstark,38.0,2016-02-18,Mimi's Cafe,Fork rating,4.3,3.0,3.0,1,Georgia Hardstark,False,False
Wendy’s with Paul Rust,39.0,2016-02-25,Wendy's,Fork rating,5.0,5.0,5.0,1,Paul Rust,False,False
Veggie Grill with Nathan Barnatt,47.0,2016-04-03,Veggie Grill,Fork rating,4.5,4.0,5.0,1,Nathan Barnatt,False,False
Chuck E. Cheese’s with Erin McGathy,48.0,2016-04-14,Chuck E. Cheese's,Fork rating,1.5,1.5,1.25,1,Erin McGathy,False,False
Sweetgreen with Siobhan Thompson,49.0,2016-04-21,Sweetgreen,Fork rating,4.0,4.0,4.0,1,Siobhan Thompson,False,False
Hillstone with David Phillips,50.0,2016-04-28,Hillstone,Fork rating,5.0,5.0,5.0,1,David Phillips,False,False
The Olive Garden with Christine Nangle,51.0,2016-05-05,Olive Garden,Fork rating,2.5,1.5,1.5,1,Christine Nangle,True,False
Morton’s The Steakhouse with Tim Kalpakis,52.0,2016-05-12,Morton's The Steakhouse,Fork rating,5.0,5.0,5.0,1,Tim Kalpakis,False,False
Yoshinoya with Jensen Karp,53.0,2016-05-19,Yoshinoya,Fork rating,1.0,2.0,2.5,2,Jensen Karp; Jensen Karp*,False,False
Popeyes Louisiana Kitchen with Lesley Arfin,54.0,2016-05-26,Popeyes,Fork rating,4.5,3.5,3.0,1,Lesley Arfin,False,False
Baja Fresh with Claudia O’Doherty,55.0,2016-06-02,Baja Fresh,Fork rating,3.0,2.0,2.0,1,Claudia O’Doherty,False,False
Jollibee with Jonah Ray,56.0,2016-06-09,Jollibee,Fork rating,3.0,2.75,2.5,1,Jonah Ray,False,False
Hokkaido Ramen Santouka with Jeff Kenji Sloniker,57.0,2016-06-16,Hokkaido Ramen Santouka,Fork rating,4.0,5.0,5.0,1,Jeff Kenji Sloniker,False,False
Pinkberry with Lauren Lapkus,58.0,2016-06-23,Pinkberry,Fork rating,3.0,3.0,3.0,1,Lauren Lapkus,False,False
Bubba Gump Shrimp Co. with Paul Scheer,60.0,2016-07-07,Bubba Gump Shrimp Co.,Fork rating,3.0,3.0,3.0,1,Paul Scheer,False,False
Bob’s Big Boy with Dave Ferguson,61.0,2016-07-14,Bob's Big Boy,Fork rating,4.0,3.9,4.0,1,Dave Ferguson,False,False
Fatburger with Yamara Taylor,62.0,2016-07-20,Fatburger,Fork rating,4.5,5.0,4.5,1,Yamara Taylor,False,False
7-Eleven with Fran Gillespie (Live),63.0,2016-07-28,7-Eleven,Fork rating,3.0,3.5,3.0,1,Fran Gillespie,True,False
The Cheesecake Factory with Beck Bennett,67.0,2016-08-25,The Cheesecake Factory,Fork rating,5.0,5.0,5.0,1,Beck Bennett,False,False
Red Robin with D'Arcy Carden,68.0,2016-09-01,Red Robin,Fork rating,3.0,4.0,,0,,False,False
Yogurtland with Van Robichaux,69.0,2016-09-08,Yogurtland,Fork rating,2.0,3.5,1.5,1,Van Robichaux,False,False
Baskin-Robbins with Dave King,71.0,2016-09-22,Baskin-Robbins,Little Pink Spoon rating,5.0,4.0,3.5,1,Dave King,False,False
Dairy Queen with Christine Nangle and Matt Selman Live At L.A. Podfest 2016,72.0,2016-09-29,Dairy Queen,Fork rating,4.0,5.0,,0,,True,False
Rocklobsterfest: Red Lobster 2 with Ross Kimball,74.0,2016-10-13,Red Lobster,Lobster Claw rating 🦞,3.5,2.25,3.0,1,Ross Kimball,False,False
Rocklobsterfest: Red Lobster 4 with Sean Clements & Hayes Davenport,76.0,2016-10-27,Red Lobster,Lobster Claws and Candied Apples rating 🦞 🍎,3.0,2.5,2.25,2,Sean Clements; Hayes Davenport,False,False
Cold Stone Creamery with Kevin T. Porter,77.0,2016-11-02,Cold Stone Creamery,Spoon rating 🥄,4.0,2.0,3.0,1,Kevin T. Porter,False,False
Wood Ranch with Esther Povitsky,78.0,2016-11-10,Wood Ranch,Fork rating,4.5,2.5,4.0,1,Esther Povitsky,False,False
Church's Chicken with Demi Adejuyigbe,79.0,2016-11-17,Church's Chicken,Fork rating,4.5,4.0,5.0,1,Demi Adejuyigbe,False,False
Hooters with Kulap Vilaysack,80.0,2016-12-08,Hooters,Fork rating,2.0,2.5,2.0,1,Kulap Vilaysack,False,False
Jack in the Box with Spencer Crittenden,81.0,2016-12-08,Jack in the Box,Fork rating,5.0,3.5,3.5,1,Spencer Crittenden,False,False
Steak 'n Shake 3 with Evan Susser,82.0,2016-12-15,Steak 'n Shake,Fork rating,2.0,2.0,,0,,False,False
Tender Greens with Ryan Stanger,83.0,2017-01-05,Tender Greens,Fork rating,3.0,3.0,3.5,1,Ryan Stanger,False,False
Buca di Beppo with Drew McWeeny,84.0,2017-01-12,Buca di Beppo,Fork rating,2.5,2.5,2.75,1,Drew McWeeny,False,False
Tony Roma's with Bug Mane,85.0,2017-01-19,Tony Roma's,Fork rating,3.5,4.0,5.0,1,Bug Mane,False,False
Taco Bell 2 with Jon Gabrus (LIVE),86.0,2017-01-26,Taco Bell,Fork rating,4.0,5.0,5.0,1,Jon Gabrus,True,False
Taco Bell 3 with Bobby Lee,87.0,2017-02-02,Taco Bell,Fork rating,4.5,5.0,5.0,1,Bobby Lee,False,False
BJ's with Sean Clements & Hayes Davenport,88.0,2017-02-09,BJ's,Fork rating,5.0,3.5,3.25,2,Sean Clements; Hayes Davenport,False,False
In-N-Out Burger 2 with ???,90.0,2017-02-23,In-N-Out Burger,Fork rating,5.0,4.5,,0,,False,False
Jamba Juice with Dylan Gelula,98.0,2017-04-06,Jamba Juice,Fork rating,2.0,2.5,1.0,1,Dylan Gelula,False,False
Jimmy John's with Lauren Lapkus,99.0,2017-04-13,Jimmy John's,Fork rating,3.5,2.5,4.0,1,Lauren Lapkus,False,False
Wetzel's Pretzels with Jon Daly,101.0,2017-04-27,Wetzel's Pretzels,Fork rating,4.0,3.0,0.5,1,Jon Daly,False,False
Mr. Pizza with Jesse Thorn,102.0,2017-05-04,Mr. Pizza,Fork ratings,3.0,2.0,2.5,1,Jesse Thorn,False,False
Carl's Jr./Hardee's 2 with Chris VanArtsdalen,103.0,2017-05-11,Carl's Jr./Hardee's,Fork rating,4.0,4.0,4.0,1,Chris VanArtsdalen,False,False
Sharky's with Erin McGathy,104.0,2017-05-18,Sharky's,Fork rating,3.0,3.0,3.0,1,Erin McGathy,False,False
IKEA with Dave Thomason,105.0,2017-05-25,IKEA,Fork rating,4.0,3.0,5.0,1,Dave Thomason,False,False
