episode,ep_num,date,person,role,forks
7-Eleven 2 with Jason Woliner,274.0,2020-10-22,Nick Wiger,Nick,2.5
7-Eleven 2 with Jason Woliner,274.0,2020-10-22,Mike Mitchell,Mitch,3.0
7-Eleven 2 with Jason Woliner,274.0,2020-10-22,Jason Woliner,Guest,2.0
7-Eleven with Fran Gillespie (Live),63.0,2016-07-28,Nick Wiger,Nick,3.0
7-Eleven with Fran Gillespie (Live),63.0,2016-07-28,Mike Mitchell,Mitch,3.5
7-Eleven with Fran Gillespie (Live),63.0,2016-07-28,Fran Gillespie,Guest,3.0
800 Degrees with Betsy Sodaro,325.0,2021-11-04,Nick Wiger,Nick,4.25
800 Degrees with Betsy Sodaro,325.0,2021-11-04,Mike Mitchell,Mitch,4.5
800 Degrees with Betsy Sodaro,325.0,2021-11-04,Betsy Sodaro,Guest,4.0
85°C Bakery Cafe with Lauren McGuire,378.0,2022-12-08,Nick Wiger,Nick,3.0
85°C Bakery Cafe with Lauren McGuire,378.0,2022-12-08,Mike Mitchell,Mitch,2.5
85°C Bakery Cafe with Lauren McGuire,378.0,2022-12-08,Lauren McGuire,Guest,2.5
99 Restaurant with Nicole Byer & Dano (LIVE),230.0,2019-11-21,Nick Wiger,Nick,3.0
99 Restaurant with Nicole Byer & Dano (LIVE),230.0,2019-11-21,Mike Mitchell,Mitch,3.0
99 Restaurant with Nicole Byer & Dano (LIVE),230.0,2019-11-21,Dano,Guest,1.0
99 Restaurant with Nicole Byer & Dano (LIVE),230.0,2019-11-21,Nicole Byer,Guest,1.5
A&W Canada with Jessica McKenna and Zach Reino (LIVE),240.0,2020-02-27,Nick Wiger,Nick,5.0
A&W Canada with Jessica McKenna and Zach Reino (LIVE),240.0,2020-02-27,Mike Mitchell,Mitch,5.0
A&W Canada with Jessica McKenna and Zach Reino (LIVE),240.0,2020-02-27,Jessica McKenna,Guest,5.0
A&W Canada with Jessica McKenna and Zach Reino (LIVE),240.0,2020-02-27,Zach Reino,Guest,5.0
AMC Dine-In with Kevin Pollak and Jaime Fox,201.0,2019-05-02,Nick Wiger,Nick,2.5
AMC Dine-In with Kevin Pollak and Jaime Fox,201.0,2019-05-02,Mike Mitchell,Mitch,4.0
AMC Dine-In with Kevin Pollak and Jaime Fox,201.0,2019-05-02,Kevin Pollak,Guest,3.0
AMC Dine-In with Kevin Pollak and Jaime Fox,201.0,2019-05-02,Jaime Fox,Guest,4.0
AMC Theatres with Adam Gertler,323.0,2021-10-21,Nick Wiger,Nick,4.0
AMC Theatres with Adam Gertler,323.0,2021-10-21,Mike Mitchell,Mitch,4.0
AMC Theatres with Adam Gertler,323.0,2021-10-21,Adam Gertler,Guest,4.0
Al's Beef with Megan Batoon & Amir Blumenfeld (LIVE),208.0,2019-06-20,Nick Wiger,Nick,2.5
Al's Beef with Megan Batoon & Amir Blumenfeld (LIVE),208.0,2019-06-20,Mike Mitchell,Mitch,3.9
Al's Beef with Megan Batoon & Amir Blumenfeld (LIVE),208.0,2019-06-20,Megan Batoon,Guest,1.0
Al's Beef with Megan Batoon & Amir Blumenfeld (LIVE),208.0,2019-06-20,Amir Blumenfeld,Guest,1.0
Alamo Drafthouse with Drew McWeeny,464.0,2024-09-19,Nick Wiger,Nick,4.0
Alamo Drafthouse with Drew McWeeny,464.0,2024-09-19,Mike Mitchell,Mitch,4.0
Alamo Drafthouse with Drew McWeeny,464.0,2024-09-19,Drew McWeeny,Guest,4.0
Alfred Coffee with Sean Clements and Hayes Davenport,512.0,2025-09-11,Nick Wiger,Nick,2.5
Alfred Coffee with Sean Clements and Hayes Davenport,512.0,2025-09-11,Mike Mitchell,Mitch,2.0
Alfred Coffee with Sean Clements and Hayes Davenport,512.0,2025-09-11,Sean Clements,Guest,3.3
Alfred Coffee with Sean Clements and Hayes Davenport,512.0,2025-09-11,Hayes Davenport,Guest,2.0
Ameci Pizza and Pasta with Gilli Nissim,463.0,2024-09-12,Nick Wiger,Nick,2.5
